time,range,distance,ip
49,0,181,0
91,0,448,1
135,0,185,0
177,0,439,1
222,0,184,0
263,0,440,1
309,0,182,0
351,0,447,1
395,0,182,0
436,0,445,1
482,0,185,0
523,0,445,1
570,0,183,0
610,0,439,1
655,0,180,0
696,0,444,1
742,0,189,0
784,0,445,1
828,0,181,0
870,0,440,1
915,0,187,0
957,0,442,1
1001,0,181,0
1044,0,439,1
1087,0,176,0
1131,0,445,1
1174,0,183,0
1216,0,441,1
1261,0,186,0
1304,0,444,1
1348,0,180,0
1390,0,442,1
1435,0,184,0
1477,0,444,1
1525,0,184,0
1564,0,437,1
1610,0,185,0
1650,0,444,1
1697,0,185,0
1737,0,441,1
1781,0,185,0
1824,0,436,1
1868,0,183,0
1911,0,443,1
1959,0,183,0
1997,0,443,1
2042,0,183,0
2083,0,441,1
2128,0,183,0
2170,0,442,1
2217,0,184,0
2257,0,442,1
2301,0,185,0
2343,0,439,1
2388,0,178,0
2431,0,440,1
2475,0,182,0
2518,0,436,1
2562,0,183,0
2604,0,445,1
2647,0,187,0
2689,0,447,1
2736,0,186,0
2776,0,440,1
2822,0,180,0
2864,0,441,1
2908,0,179,0
2951,0,442,1
2994,0,182,0
3037,0,443,1
3081,0,185,0
3125,0,443,1
3168,0,182,0
3211,0,439,1
3254,0,185,0
3298,0,438,1
3343,0,185,0
3385,0,443,1
3428,0,186,0
3472,0,443,1
3516,0,181,0
3558,0,448,1
3604,0,184,0
3645,0,447,1
3689,0,184,0
3732,0,446,1
3775,0,180,0
3818,0,445,1
3862,0,181,0
3905,0,442,1
3948,0,185,0
3992,0,446,1
4035,0,182,0
4078,0,439,1
4122,0,182,0
4164,0,441,1
4209,0,185,0
4251,0,440,1
4295,0,183,0
4339,0,446,1
4381,0,186,0
4425,0,447,1
4469,0,188,0
4511,0,442,1
4554,0,182,0
4598,0,440,1
4641,0,182,0
4685,0,438,1
4728,0,184,0
4772,0,443,1
4816,0,185,0
4858,0,443,1
4917,0,180,0
4946,0,444,1
4989,0,181,0
5032,0,442,1
5075,0,185,0
5118,0,445,1
5161,0,183,0
5204,0,443,1
5248,0,184,0
5291,0,442,1
5335,0,185,0
5379,0,445,1
5422,0,185,0
5465,0,445,1
5509,0,181,0
5552,0,443,1
5598,0,181,0
5638,0,444,1
5683,0,184,0
5725,0,437,1
5771,0,179,0
5812,0,443,1
5855,0,182,0
5898,0,442,1
5942,0,184,0
5984,0,442,1
6028,0,181,0
6071,0,450,1
6115,0,183,0
6158,0,446,1
6202,0,183,0
6246,0,449,1
6289,0,182,0
6332,0,449,1
6375,0,182,0
6418,0,447,1
6464,0,182,0
6504,0,444,1
6549,0,181,0
6591,0,447,1
6636,0,179,0
6678,0,449,1
6723,0,187,0
6765,0,445,1
6811,0,187,0
6851,0,448,1
6894,0,186,0
6938,0,444,1
6981,0,183,0
7027,0,449,1
7071,0,183,0
7112,0,436,1